areacd,origin,destination,nomove,within,fromout,toout,to1cd,to1,to2cd,to2,to3cd,to3,from1cd,from1,from2cd,from2,from3cd,from3
E06000054,252324,250830,120543,99027,0,757,E06000030,6319,E06000022,5124,E07000093,3162,E06000030,5846,E06000059,2317,E07000187,2300
E06000055,90866,88280,40700,31914,0,204,E06000056,5076,E06000042,3791,E06000032,1536,E06000056,4596,E06000061,2699,E07000011,2046
E06000056,151089,134392,75134,31454,0,374,E06000032,8966,E06000042,5122,E06000055,4596,E06000032,9986,E06000055,5076,E06000042,3215
E06000057,140790,129220,58527,53420,0,981,E08000021,10753,E08000022,8057,E08000037,2906,E08000022,5541,E08000021,5277,E08000037,2509
E06000058,186014,183890,83341,80467,0,579,E06000059,10943,E07000091,4961,E06000045,946,E06000059,12855,E07000091,3323,E06000046,465
E06000059,167789,164722,74780,66477,0,592,E06000058,12855,E07000189,3451,E07000091,3022,E06000058,10943,E07000189,5084,E07000091,1788
E06000060,273231,264236,148873,77728,0,643,E09000017,5330,E06000039,4004,E06000042,3219,E06000039,3966,E06000040,2853,E07000179,2716
E06000061,178852,166753,66697,82184,0,435,E06000062,12996,E06000055,2699,E06000042,2076,E06000062,7232,E07000131,1653,E06000031,1612
E06000062,215990,223055,92356,90978,0,575,E06000061,7232,E06000042,6761,E07000177,4456,E06000061,12996,E07000220,5875,E08000026,2849
E07000008,70591,92870,37294,22895,0,248,E07000012,5374,E07000245,622,E06000031,565,E07000012,14014,E07000009,3824,E07000245,3730
E07000009,44708,40167,21675,10722,0,97,E07000008,3824,E07000012,2896,E07000245,2725,E07000245,2161,E07000010,1550,E07000146,1038
E07000010,47121,43614,17294,16530,0,91,E06000031,3815,E07000011,2142,E07000146,1909,E07000146,3040,E06000031,2793,E07000140,1204
E07000011,91389,87972,43901,27932,0,198,E06000031,3849,E07000012,3476,E07000008,3344,E06000031,4391,E07000010,2142,E07000012,1677
E07000012,82274,82063,44530,14669,0,192,E07000008,14014,E07000011,1677,E07000099,1251,E07000008,5374,E07000011,3476,E07000245,3052
E07000026,44231,40544,16694,17970,0,158,E07000029,4788,E07000028,3008,E07000030,761,E07000029,3049,E07000028,1598,E07000030,590
E07000027,31195,31947,9232,17831,0,293,E07000031,2715,E07000029,472,E07000121,101,E07000031,2788,E07000029,631,E07000121,215
E07000028,52950,53622,17786,29194,0,160,E07000030,2159,E07000026,1598,E07000029,313,E07000026,3008,E07000030,1725,E06000057,452
E07000029,30567,32048,10816,14707,0,103,E07000026,3049,E07000027,631,E07000031,391,E07000026,4788,E07000027,472,E07000028,313
E07000030,27336,27521,12451,10764,0,106,E07000028,1725,E07000031,897,E07000026,590,E07000028,2159,E07000026,761,E07000031,541
E07000031,50133,52464,21226,22207,0,263,E07000027,2788,E07000121,1355,E07000030,541,E07000121,2986,E07000027,2715,E07000030,897
E07000032,60175,56423,23615,16398,0,104,E06000015,6036,E07000036,2306,E06000018,1581,E06000015,2813,E07000170,2059,E07000033,1953
E07000033,38106,35717,12512,7587,0,73,E07000034,3205,E07000170,2354,E07000032,1953,E07000174,3457,E07000170,2491,E07000034,1639
E07000034,47530,51910,17632,16644,0,110,E07000038,3526,E08000019,2544,E07000033,1639,E07000038,6537,E07000033,3205,E08000019,2743
E07000035,33228,35274,16208,8996,0,83,E06000015,1197,E07000037,1078,E07000032,823,E06000015,1498,E07000032,1380,E07000038,1245
E07000036,54970,47006,21327,12810,0,70,E06000015,4915,E06000018,4295,E07000172,3184,E07000172,2738,E06000015,2431,E07000032,2306
E07000037,44619,40209,19123,14814,0,122,E08000007,2160,E08000008,1907,E08000003,1495,E08000008,1250,E07000035,1078,E08000007,887
E07000038,46564,36211,18612,6930,0,75,E07000034,6537,E08000019,5398,E07000033,1582,E07000034,3526,E08000019,2525,E07000033,1474
E07000039,53908,45570,21523,9742,0,112,E06000015,6474,E07000193,5522,E07000134,3306,E06000015,3846,E07000193,3720,E07000134,1351
E07000040,66737,61565,30354,21147,0,211,E07000041,9363,E07000042,1028,E06000059,894,E07000041,3409,E07000042,1591,E07000045,1141
